id,dataset_id,description,description_chinese,translation_status,translation_error
1,aeso_daily_average_pool_price,"Average daily prices in AESO. AESO reports out prices for both peak (Hour Ending 8-23) and off-peak. This dataset also contains 30-day rolling average price, defined as the average of the current date and the prior 29 days. ",AESO（阿尔伯塔省电力系统运营商）内的日均电力池价。AESO 分别报告高峰时段（小时结束时间 8-23）和非高峰时段的电价。该数据集还包含 30 天滚动平均电价，定义为当前日期及之前 29 天的平均价格。,done,
2,aeso_fuel_mix,Fuel mix data in AESO. This data is sampled every 1-2 minutes.  ,AESO（阿尔伯塔省电力系统运营商）内的燃料结构数据。该数据每隔 1-2 分钟采样一次。,done,
3,aeso_interchange,"This dataset contains the flows between AESO and British Columbia, Montana, and Saskatchewan. Positive values indicate exports and negative values indicate imports. Flows are sampled every 1-2 minutes. ",该数据集包含 AESO（阿尔伯塔省电力系统运营商）与不列颠哥伦比亚省、蒙大拿州和萨斯喀彻温省之间的电力交换潮流。正值表示出口，负值表示进口。潮流数据每隔 1-2 分钟采样一次。,done,
4,aeso_load,Calculated total Alberta demand based on all telemetered Control Area Net Generation minus Net Actual Interchange (in MW).,"根据所有遥测控制区净发电量减去实际净交换电量（单位：MW），计算得出的阿尔伯塔省总需求。
说明：Control Area 指控制区；Net Actual Interchange 指实际净交换电量。",done,
5,aeso_load_forecast,"Forecasted and calculated total Alberta demand based on all telemetered Control Area Net Generation minus Net Actual Interchange (in MW). Forecasts are released each day around 7AM Mountain Prevailing Time, forecasting the next 13 days. ","基于所有遥测控制区净发电量减去实际净交换电量（单位：MW），预测并计算得出的阿尔伯塔省总需求。
预测结果于每日山地标准时间早上7点左右发布，提供未来13天的需求预测。",done,
6,aeso_outages_hourly,"This dataset contains hourly average MW values for AESO outages over the next 90 days, broken down by fuel type. Fuel types include simple cycle (SC), cogen, combined cycle (CC), gas-fired steam (GFS), hydro, wind, solar, energy storage, biomass and other, and units mothballed (MBO). ",该数据集包含未来90天内AESO（阿尔伯塔省电力系统运营商）停电事故的每小时平均兆瓦值，并按燃料类型细分。燃料类型包括：简单循环（SC）、热电联产、联合循环（CC）、燃气蒸汽（GFS）、水力、风电、太阳能、储能、生物质及其他、以及封存备用机组（MBO）。,done,
7,aeso_pool_price,Time-weighted hourly averages of the one-minute system marginal prices across AESO. ,基于AESO（阿尔伯塔省电力系统运营商）范围内一分钟系统边际价格的时间加权小时平均值。,done,
8,aeso_pool_price_forecast,Forecasted pool prices for AESO for the current and next two hours. ,AESO（阿尔伯塔省电力系统运营商）当前及未来两小时的日前市场电价预测。,done,
9,aeso_reserves,"This dataset contains operating and required reserve values, in MWs, in AESO.  Values are included for Contingency Reserve, Fast Frequency Reserve (FFR), and Long Lead Time. AESO separates dispatched contingency reserves into two categories: generation and other. Other contingency reserves include load and interconnections. Data is sampled every 1-2 minutes. ","该数据集包含AESO（阿尔伯塔省电力系统运营商）的运行备用和所需备用值（单位：MW）。
数据涵盖：事故备用、快速频率备用（FFR）和长提前时间备用。
AESO将调度的的事故备用分为两类：发电侧备用和其他侧备用。其他事故备用包括负荷备用和互联线路备用。数据采样频率为每1-2分钟一次。",done,
10,aeso_solar_10_min,AESO's actual solar generation at 10 minute frequency. ,AESO（阿尔伯塔省电力系统运营商）以10分钟为频率记录的实际太阳能发电数据。,done,
11,aeso_solar_forecast_12_hour,"This dataset contains AESO’s forecasted solar generation for the next 12 hours, calculated every 10 minutes. AESO calculates three generation forecasts: minimum, most likely, and maximum. Additionally, AESO calculates a percentage of generation compared to the current installed capacity for each forecast range. ","该数据集包含AESO（阿尔伯塔省电力系统运营商）未来12小时的太阳能发电预测，每10分钟计算一次。
AESO提供三种发电预测情景：最小值、最可能值、最大值。
此外，针对每种预测区间，AESO还计算了发电量相对于当前已安装容量的百分比。",done,
